LeadId,LeadCode,FullName,Email,Phone,Company,LeadSourceId,LeadStageId,LeadStatusId,LeadScoringId,CountryId,CityRegionId,InterestedRegion,AssignedAgentId,Notes,IsActive,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn
1,LEAD00001,Katie Anderson,nicole35@example.com,(378)449-8084,Wilson-Rodriguez,3,4,6,2,6,6,Saudi Arabia,9,Notes,1,SYSTEM,2024-10-19 07:42:25.100301,,
2,LEAD00002,Denise Jacobs,james48@example.com,801-264-0052x427,Jones Ltd,6,1,10,2,4,3,London,13,Notes,1,SYSTEM,2025-09-13 07:42:25.100301,,
3,LEAD00003,Kimberly Davenport,russellwilliams@example.com,4535315869,Cherry and Sons,6,2,6,1,4,1,Mumbai,13,Notes,1,SYSTEM,2024-06-28 07:42:25.100301,,
4,LEAD00004,Allison Doyle,kimberly63@example.com,(616)507-3375,Johnson and Sons,1,2,10,3,4,8,London,15,Notes,1,SYSTEM,2024-06-26 07:42:25.100301,,
5,LEAD00005,Donald Jones,michael86@example.net,+1-350-814-2940,Chandler-Edwards,3,2,4,3,7,10,London,12,Notes,1,SYSTEM,2024-02-19 07:42:25.100301,,
6,LEAD00006,Kayla Cruz,jonathanfletcher@example.org,783.856.1595x14846,"Phillips, Martinez and Fisher",2,4,2,1,2,3,Saudi Arabia,14,Notes,1,SYSTEM,2024-05-07 07:42:25.100301,,
7,LEAD00007,Megan Orr,richard04@example.com,969.495.7773,"Miller, Robertson and Schultz",1,4,7,4,5,9,Dubai,4,Notes,1,SYSTEM,2025-05-28 07:42:25.100301,,
8,LEAD00008,Robert Potter,jeffrey32@example.org,8379917693,Sanchez-Douglas,5,3,6,1,5,7,Saudi Arabia,15,Notes,1,SYSTEM,2025-08-24 07:42:25.100301,,
9,LEAD00009,Paul Carrillo,osbornejeffery@example.net,870.983.1727x88957,Manning Group,6,3,9,2,2,5,New York,20,Notes,1,SYSTEM,2023-09-29 07:42:25.100301,,
10,LEAD00010,Paul Larsen,katie87@example.net,347.414.3455,Hall Ltd,2,3,3,1,6,8,Dubai,4,Notes,1,SYSTEM,2024-04-16 07:42:25.100301,,
11,LEAD00011,Daniel Perry,amy60@example.org,(569)909-6705x46688,Nelson Group,3,2,1,2,2,2,London,3,Notes,1,SYSTEM,2024-10-01 07:42:25.100301,,
12,LEAD00012,George Shelton,dramsey@example.org,+1-280-669-9016x272,Murphy-Gibson,2,2,8,2,5,9,New York,14,Notes,1,SYSTEM,2025-03-24 07:42:25.100301,,
13,LEAD00013,Shawn Ramirez,fking@example.com,5802531003,"Hernandez, Martinez and Caldwell",5,2,5,4,6,8,New York,15,Notes,1,SYSTEM,2024-04-29 07:42:25.100301,,
14,LEAD00014,Claudia Lyons,gary91@example.org,619-304-9663x1931,"Patton, Reed and Patterson",2,2,2,3,1,10,New York,8,Notes,1,SYSTEM,2024-01-27 07:42:25.100301,,
15,LEAD00015,Jonathan Peterson,gshort@example.com,(672)762-8498x776,Rivas Inc,2,1,2,1,4,2,Dubai,11,Notes,1,SYSTEM,2025-05-20 07:42:25.100301,,
16,LEAD00016,Jerry Christensen,frogers@example.com,(273)554-5494,Allen Group,5,2,5,4,4,9,Saudi Arabia,19,Notes,1,SYSTEM,2023-12-07 07:42:25.100301,,
17,LEAD00017,Peter Vaughn DDS,bwest@example.org,736-734-9578x8568,"Chavez, Parker and Hall",4,2,8,4,4,2,Dubai,14,Notes,1,SYSTEM,2025-05-08 07:42:25.100301,,
18,LEAD00018,Emily Newton,jamesrodgers@example.com,001-498-694-1343x5240,Mccann PLC,4,4,8,1,2,1,London,11,Notes,1,SYSTEM,2024-09-22 07:42:25.100301,,
19,LEAD00019,Tony Little,agarcia@example.net,377-275-2047x1167,Hernandez PLC,2,2,4,4,3,7,Saudi Arabia,9,Notes,1,SYSTEM,2024-01-15 07:42:25.100301,,
20,LEAD00020,Angela Wright,yobrien@example.net,286.377.4964,Garrett LLC,2,1,8,1,1,9,Dubai,3,Notes,1,SYSTEM,2025-01-11 07:42:25.100301,,
21,LEAD00021,Brooke Thompson,moorericky@example.net,+1-574-803-4471x349,Stephens Ltd,2,4,8,4,4,7,Dubai,6,Notes,1,SYSTEM,2024-05-25 07:42:25.100301,,
22,LEAD00022,Derek Thomas,martinkyle@example.net,001-947-917-4648,George Group,1,4,5,4,5,7,New York,16,Notes,1,SYSTEM,2024-10-18 07:42:25.100301,,
23,LEAD00023,Lindsey Johnson,suzannehuff@example.net,001-604-490-2787,"Graham, Olsen and Costa",2,3,4,1,1,6,Dubai,2,Notes,1,SYSTEM,2024-03-02 07:42:25.100301,,
24,LEAD00024,Jason Morris,hodgemark@example.net,246.980.7154x5168,Brown-Stone,4,2,1,1,3,2,New York,3,Notes,1,SYSTEM,2025-05-16 07:42:25.100301,,
25,LEAD00025,Kathleen Ramos,harrisandrea@example.com,371.509.3248x086,Murray Inc,2,4,2,2,1,10,Dubai,14,Notes,1,SYSTEM,2025-08-17 07:42:25.100301,,
26,LEAD00026,Brittany Cantu,william46@example.com,737.682.6398x2146,Campbell LLC,5,3,5,2,6,4,Mumbai,13,Notes,1,SYSTEM,2025-07-30 07:42:25.100301,,
27,LEAD00027,Lauren Keller,seanwashington@example.com,+1-586-875-3396,Flores Group,6,3,8,3,2,1,London,20,Notes,1,SYSTEM,2024-02-07 07:42:25.100301,,
28,LEAD00028,Roberta Hughes,tylerjohnson@example.net,001-851-471-8702,Harrison LLC,1,1,9,2,5,3,Mumbai,3,Notes,1,SYSTEM,2025-04-24 07:42:25.100301,,
29,LEAD00029,Michael Santos,melissa86@example.com,+1-978-409-1343x1611,"Evans, Johnson and Nguyen",3,3,3,4,5,10,New York,1,Notes,1,SYSTEM,2024-06-02 07:42:25.100301,,
30,LEAD00030,Ian Jordan,amandaknight@example.org,(421)596-9379,Little-Stevens,5,3,2,2,5,2,Dubai,18,Notes,1,SYSTEM,2025-08-09 07:42:25.100301,,
31,LEAD00031,Stephanie Marshall,erica21@example.com,(894)764-7436x713,"Phillips, Lyons and Johnson",3,3,10,2,6,4,Mumbai,17,Notes,1,SYSTEM,2024-03-03 07:42:25.100301,,
32,LEAD00032,Jennifer Smith,lozanojulie@example.com,001-739-453-3942x10470,Browning LLC,3,1,2,4,5,1,Dubai,11,Notes,1,SYSTEM,2025-02-07 07:42:25.100301,,
33,LEAD00033,Casey Anderson,alyssa42@example.com,245.617.1236x8516,"Martinez, Richardson and Curry",6,3,3,4,7,9,Dubai,4,Notes,1,SYSTEM,2024-02-06 07:42:25.100301,,
34,LEAD00034,James Little,daniel37@example.org,+1-285-693-1746x120,Wilson-Young,6,2,9,1,6,10,New York,5,Notes,1,SYSTEM,2023-12-12 07:42:25.100301,,
35,LEAD00035,Jasmine Watson,umatthews@example.org,(717)796-4053x77351,Sanders and Sons,2,1,5,3,1,6,Saudi Arabia,8,Notes,1,SYSTEM,2024-12-09 07:42:25.100301,,
36,LEAD00036,Tiffany Holloway,batesdarlene@example.net,5055329318,Murphy and Sons,1,3,9,4,3,4,Saudi Arabia,6,Notes,1,SYSTEM,2025-08-08 07:42:25.100301,,
37,LEAD00037,Linda Ramirez,vanessafernandez@example.org,402-605-3950,Martinez Group,1,2,6,4,4,5,Saudi Arabia,4,Notes,1,SYSTEM,2024-11-21 07:42:25.100301,,
38,LEAD00038,Nichole Alvarez,william17@example.net,890.884.7007,"Rodriguez, Joseph and Wallace",1,4,4,2,8,6,Mumbai,8,Notes,1,SYSTEM,2024-10-21 07:42:25.100301,,
39,LEAD00039,Erica Hernandez,joshuaschultz@example.net,001-556-898-4789x611,Beasley-Gutierrez,1,2,7,3,5,2,Mumbai,12,Notes,1,SYSTEM,2024-05-11 07:42:25.100301,,
40,LEAD00040,Jennifer Blair,ronald45@example.org,+1-771-311-1615x28098,Gomez-Ortega,5,4,9,3,1,2,Mumbai,6,Notes,1,SYSTEM,2025-07-13 07:42:25.100301,,
41,LEAD00041,Shawna Griffith,caroline51@example.net,232.673.1585x14936,White Ltd,3,1,2,4,6,6,London,20,Notes,1,SYSTEM,2025-05-12 07:42:25.100301,,
42,LEAD00042,Tammy Bell,mollyknight@example.com,720-418-3667,Collins-Nguyen,1,4,10,2,5,1,London,1,Notes,1,SYSTEM,2025-03-02 07:42:25.100301,,
43,LEAD00043,Linda Ware,ericwilliamson@example.net,547-367-9764,Jordan-Campbell,5,2,6,4,2,6,New York,11,Notes,1,SYSTEM,2025-03-11 07:42:25.100301,,
44,LEAD00044,Katelyn Estrada,walkertracey@example.org,2349324451,"Jordan, Anderson and Patel",1,3,9,3,7,6,London,10,Notes,1,SYSTEM,2025-08-05 07:42:25.100301,,
45,LEAD00045,Justin Barnett,charles06@example.org,715.496.9664x160,"Stevens, Norris and Cox",2,2,7,4,3,10,New York,10,Notes,1,SYSTEM,2025-04-15 07:42:25.100301,,
46,LEAD00046,Brian Graham,zwarren@example.com,001-453-552-1818x8355,Thomas and Sons,5,1,5,3,4,7,New York,20,Notes,1,SYSTEM,2024-11-14 07:42:25.100301,,
47,LEAD00047,Christian Malone,thompsonkendra@example.com,999.679.9552x717,Vargas-Bell,3,4,8,4,4,9,London,6,Notes,1,SYSTEM,2025-07-27 07:42:25.100301,,
48,LEAD00048,Joel Johnson,marie11@example.net,+1-986-479-8079x359,Hayes LLC,1,3,9,3,2,4,Mumbai,8,Notes,1,SYSTEM,2025-07-31 07:42:25.100301,,
49,LEAD00049,Mrs. Maria Williams,hritter@example.net,+1-725-354-6659x051,"Gregory, Mitchell and Cummings",2,1,1,2,8,10,Dubai,15,Notes,1,SYSTEM,2024-04-16 07:42:25.100301,,
50,LEAD00050,Susan Marks,christopher25@example.com,+1-762-291-4865x2816,Parker-Bean,6,2,7,4,7,4,Saudi Arabia,1,Notes,1,SYSTEM,2024-11-23 07:42:25.100301,,
51,LEAD00051,Ralph Lee,ericphillips@example.org,988.205.9296x22292,Diaz-Ball,4,2,3,4,1,9,Saudi Arabia,4,Notes,1,SYSTEM,2024-01-13 07:42:25.100301,,
52,LEAD00052,Lisa Goodwin,pyoung@example.com,435.697.7468x8623,Davidson LLC,2,4,9,3,8,10,New York,14,Notes,1,SYSTEM,2025-01-05 07:42:25.100301,,
53,LEAD00053,Ashley Singleton,mitchellkathryn@example.com,782.561.3750x606,Vang-Brooks,4,2,8,4,5,4,Mumbai,17,Notes,1,SYSTEM,2025-04-09 07:42:25.100301,,
54,LEAD00054,Timothy Combs,lacey20@example.com,827.379.0104x3289,Young-Martinez,6,2,5,4,2,5,Saudi Arabia,9,Notes,1,SYSTEM,2025-02-03 07:42:25.100301,,
55,LEAD00055,Mark Dean,rodriguezrebecca@example.net,+1-708-593-2460,"Butler, Beck and Miller",3,1,3,2,4,7,Saudi Arabia,7,Notes,1,SYSTEM,2024-09-03 07:42:25.100301,,
56,LEAD00056,Andrea Fox,myerstheodore@example.net,(754)705-1531x9520,"Thompson, Maxwell and Marshall",4,4,6,4,7,1,Saudi Arabia,14,Notes,1,SYSTEM,2023-11-30 07:42:25.100301,,
57,LEAD00057,Lynn Cain,baldwinsherry@example.org,530-630-5486x8740,Atkins-Williams,5,1,10,4,8,1,Mumbai,10,Notes,1,SYSTEM,2024-10-28 07:42:25.100301,,
58,LEAD00058,Denise Lloyd,vpreston@example.com,(452)677-5841x6169,Garcia-Murphy,4,2,8,2,5,7,London,1,Notes,1,SYSTEM,2024-10-29 07:42:25.100301,,
59,LEAD00059,Jeremy Robbins,hannahbell@example.org,001-959-264-0165x8202,Jones Ltd,3,4,3,4,3,10,New York,1,Notes,1,SYSTEM,2024-10-28 07:42:25.100301,,
60,LEAD00060,James Bradley,erikarush@example.com,419.928.5654x310,"Hughes, Hoffman and Green",5,1,2,4,3,8,Saudi Arabia,2,Notes,1,SYSTEM,2024-11-02 07:42:25.100301,,
61,LEAD00061,Jeremy Davies,heather73@example.org,(617)627-1551,Joseph Ltd,4,3,4,4,6,6,London,9,Notes,1,SYSTEM,2024-06-18 07:42:25.100301,,
62,LEAD00062,Rebecca Hicks,gallowaylaura@example.org,805.989.5782x9114,"Jenkins, Ortiz and Andrews",3,1,8,1,1,6,Saudi Arabia,3,Notes,1,SYSTEM,2024-11-30 07:42:25.100301,,
63,LEAD00063,Evan Jones,wfrazier@example.org,001-789-522-6801x82422,Meza-Stone,1,1,4,2,1,10,Saudi Arabia,8,Notes,1,SYSTEM,2025-07-24 07:42:25.100301,,
64,LEAD00064,Blake Gonzalez,david49@example.net,782-299-2299,Miller Ltd,4,1,10,2,8,5,Mumbai,6,Notes,1,SYSTEM,2024-02-02 07:42:25.100301,,
65,LEAD00065,Deborah Clark,bmontgomery@example.com,+1-884-947-3647x1027,Harris-Lawson,5,1,3,3,2,10,Dubai,10,Notes,1,SYSTEM,2025-06-07 07:42:25.100301,,
66,LEAD00066,Nathan Gross,theresa25@example.net,+1-415-337-1473,Roberts Group,6,4,7,2,2,10,Saudi Arabia,4,Notes,1,SYSTEM,2025-05-07 07:42:25.100301,,
67,LEAD00067,Jennifer Estes,lisapeck@example.net,532-578-7747x01687,"Gomez, Williams and Simpson",3,1,10,1,6,9,London,12,Notes,1,SYSTEM,2025-09-08 07:42:25.100301,,
68,LEAD00068,Martha Ruiz,booneryan@example.com,001-356-850-6098x3584,"Cole, Pierce and Bryan",5,3,1,4,8,2,London,12,Notes,1,SYSTEM,2023-12-05 07:42:25.100301,,
69,LEAD00069,Lisa Anderson,longlaura@example.com,+1-252-239-8680,Reeves Group,4,2,7,2,5,10,New York,16,Notes,1,SYSTEM,2025-07-07 07:42:25.100301,,
70,LEAD00070,Brittany Barry,markaustin@example.org,(794)795-8887x9470,"Rodriguez, Butler and Parker",4,3,6,2,2,5,London,8,Notes,1,SYSTEM,2025-01-14 07:42:25.100301,,
71,LEAD00071,Shelby Soto,pbaker@example.net,001-430-597-2896,Armstrong Ltd,5,4,6,1,8,6,Saudi Arabia,16,Notes,1,SYSTEM,2025-01-13 07:42:25.100301,,
72,LEAD00072,Albert Edwards,robertharris@example.net,001-997-702-8385x78652,"Gomez, Ingram and Le",3,3,6,3,5,9,Dubai,17,Notes,1,SYSTEM,2024-04-30 07:42:25.100301,,
73,LEAD00073,Melissa Bishop,susanramirez@example.com,644.637.5758,Berry PLC,1,2,7,4,4,8,London,15,Notes,1,SYSTEM,2024-04-08 07:42:25.100301,,
74,LEAD00074,William Cardenas,kellyroberts@example.net,657-447-3384,Gilbert PLC,1,3,4,4,4,5,New York,12,Notes,1,SYSTEM,2023-10-13 07:42:25.100301,,
75,LEAD00075,Anthony Stein,danawilliams@example.com,271-320-8267x73454,"Andrews, Nichols and Sharp",5,3,7,3,6,8,Mumbai,10,Notes,1,SYSTEM,2025-01-22 07:42:25.100301,,
76,LEAD00076,Susan Thompson,sarahjohnson@example.com,924.400.4991x5478,"Mcdonald, Lee and Rodriguez",2,1,4,3,2,9,Saudi Arabia,7,Notes,1,SYSTEM,2024-06-09 07:42:25.100301,,
77,LEAD00077,Jimmy Scott,alexisrogers@example.com,001-832-396-6851,Holden Group,6,4,5,3,2,4,Mumbai,8,Notes,1,SYSTEM,2024-05-04 07:42:25.100301,,
78,LEAD00078,David Green,seanadams@example.com,699-304-5301x7426,"Hendricks, Phillips and Mendez",2,3,1,2,5,1,Dubai,18,Notes,1,SYSTEM,2024-09-29 07:42:25.100301,,
79,LEAD00079,Casey Hernandez,robert87@example.net,+1-533-491-8785x19108,Murphy PLC,6,2,8,1,1,10,Mumbai,16,Notes,1,SYSTEM,2024-07-21 07:42:25.100301,,
80,LEAD00080,Michael Love,gdavis@example.com,9726867908,"Johnson, Scott and Smith",4,3,3,1,5,8,Dubai,3,Notes,1,SYSTEM,2025-01-28 07:42:25.100301,,
81,LEAD00081,Benjamin Henderson,weaverbrian@example.org,404.762.2656x7661,White PLC,4,1,10,1,3,3,New York,10,Notes,1,SYSTEM,2024-11-09 07:42:25.100301,,
82,LEAD00082,Cameron Irwin,avilatiffany@example.com,+1-886-286-3375x24310,Harris Inc,2,1,9,4,4,9,London,15,Notes,1,SYSTEM,2023-12-22 07:42:25.100301,,
83,LEAD00083,Jill Powers,sanchezbradley@example.com,783.702.8439,Turner and Sons,3,4,5,1,2,4,Saudi Arabia,9,Notes,1,SYSTEM,2024-12-22 07:42:25.100301,,
84,LEAD00084,Ms. Jennifer Hill,conniesimmons@example.com,8564856624,"Wells, Atkinson and Turner",1,2,4,2,2,3,Dubai,14,Notes,1,SYSTEM,2025-08-02 07:42:25.100301,,
85,LEAD00085,Renee Melendez,jfaulkner@example.net,(363)543-5175,Adams Ltd,6,4,5,1,4,5,Mumbai,15,Notes,1,SYSTEM,2024-12-30 07:42:25.100301,,
86,LEAD00086,Amanda Jones,timothybooth@example.com,603-831-7393x6385,Ferguson-Howard,6,2,5,2,7,2,New York,8,Notes,1,SYSTEM,2023-12-07 07:42:25.100301,,
87,LEAD00087,Jose Crawford,langjennifer@example.com,655.860.9320,Hernandez-Rivera,2,3,3,1,1,3,Mumbai,20,Notes,1,SYSTEM,2025-07-20 07:42:25.100301,,
88,LEAD00088,Roy Porter,jonathan77@example.com,(252)328-7280,"Williams, Smith and Taylor",3,4,2,4,5,7,Mumbai,17,Notes,1,SYSTEM,2025-04-30 07:42:25.100301,,
89,LEAD00089,Andrea Hernandez,williambrooks@example.net,+1-697-270-0886x0084,"Li, Craig and Drake",4,4,2,1,7,6,New York,9,Notes,1,SYSTEM,2025-03-31 07:42:25.100301,,
90,LEAD00090,Ashley Davis,johnharvey@example.com,(246)315-6793x341,Gray-Tran,1,2,10,1,5,10,Dubai,6,Notes,1,SYSTEM,2023-10-22 07:42:25.100301,,
91,LEAD00091,Adam Jackson,pbruce@example.com,001-218-303-3974,"Frost, Lam and Elliott",5,4,5,2,7,8,Dubai,16,Notes,1,SYSTEM,2025-01-19 07:42:25.100301,,
92,LEAD00092,Timothy Edwards,brendagoodwin@example.net,(714)229-3968x5621,Kim Inc,4,3,6,1,3,6,London,16,Notes,1,SYSTEM,2024-09-16 07:42:25.100301,,
93,LEAD00093,Randy Friedman,unovak@example.org,+1-647-573-5866x2961,"Jones, Adams and James",6,4,9,1,8,2,Mumbai,9,Notes,1,SYSTEM,2024-07-17 07:42:25.100301,,
94,LEAD00094,Brittany Price,daniel04@example.com,(341)221-2678x886,Gomez Inc,1,4,9,1,8,7,Dubai,7,Notes,1,SYSTEM,2024-08-22 07:42:25.100301,,
95,LEAD00095,Rachel Shields,carterpaul@example.org,001-483-398-2622x4447,Hamilton Group,3,4,8,1,4,5,New York,5,Notes,1,SYSTEM,2025-03-09 07:42:25.100301,,
96,LEAD00096,Richard Ward,jennifersimpson@example.net,871.724.0659,Cook-Ochoa,4,4,2,1,4,3,Mumbai,18,Notes,1,SYSTEM,2024-07-16 07:42:25.100301,,
97,LEAD00097,Valerie Taylor,carrie37@example.com,(665)847-9356,Wilson-Elliott,5,4,2,2,2,8,Dubai,5,Notes,1,SYSTEM,2023-10-10 07:42:25.100301,,
98,LEAD00098,Kimberly Maldonado,bentonsteven@example.net,674.416.7243,"Henderson, Bennett and Cole",6,3,9,3,7,8,London,8,Notes,1,SYSTEM,2025-02-17 07:42:25.100301,,
99,LEAD00099,Lauren Ferguson,ystephens@example.com,001-789-811-3529x096,Smith LLC,5,2,7,2,3,2,Mumbai,14,Notes,1,SYSTEM,2025-01-05 07:42:25.100301,,
100,LEAD00100,Paul Grant,seanmyers@example.net,001-382-350-7146,"Thomas, Collins and Gibson",5,3,1,3,5,10,New York,16,Notes,1,SYSTEM,2024-09-08 07:42:25.100301,,
101,LEAD00101,John Alvarez,cbowen@example.com,440-410-5123,Castro-Mullen,4,4,6,3,7,8,Mumbai,7,Notes,1,SYSTEM,2024-02-25 07:42:25.100301,,
102,LEAD00102,Jared Lopez,vfoster@example.net,379.366.0334,"Lopez, Nguyen and Ellis",2,4,4,4,1,6,London,13,Notes,1,SYSTEM,2025-09-09 07:42:25.100301,,
103,LEAD00103,Scott Rose,candice96@example.net,355-479-2499,Wilson-Torres,6,2,8,1,3,9,New York,11,Notes,1,SYSTEM,2024-10-25 07:42:25.100301,,
104,LEAD00104,Michael Dixon,kcarlson@example.com,(227)782-8274x22579,Washington and Sons,4,1,9,4,1,3,London,5,Notes,1,SYSTEM,2024-01-06 07:42:25.100301,,
105,LEAD00105,Tracey Wagner,fortiz@example.com,001-677-421-9034x043,Cunningham-Barton,4,3,6,4,2,6,New York,13,Notes,1,SYSTEM,2023-12-11 07:42:25.100301,,
106,LEAD00106,Jorge Armstrong III,amber07@example.net,361.934.0745,Rowe and Sons,6,4,9,1,2,4,Mumbai,8,Notes,1,SYSTEM,2024-08-15 07:42:25.100301,,
107,LEAD00107,Oscar Norris,imartin@example.org,709.658.4982,Armstrong-Farley,4,1,2,4,3,5,Dubai,2,Notes,1,SYSTEM,2023-12-27 07:42:25.100301,,
108,LEAD00108,Stephanie Ochoa,sydneyfloyd@example.org,822-832-5367x294,Jones-Norton,1,3,6,3,7,3,Saudi Arabia,17,Notes,1,SYSTEM,2024-08-23 07:42:25.100301,,
109,LEAD00109,Jennifer Brady,shawn75@example.net,5179518636,Morris-Campbell,5,2,3,2,2,10,London,20,Notes,1,SYSTEM,2024-11-20 07:42:25.100301,,
110,LEAD00110,Bianca Phelps,patricia00@example.org,+1-670-312-7706x3242,"Ward, Miller and Beck",2,4,10,2,4,8,Mumbai,15,Notes,1,SYSTEM,2025-08-25 07:42:25.100301,,
111,LEAD00111,Amber Garrett,rubendavis@example.org,2372129387,"Cooper, Martinez and Dalton",6,1,8,3,3,2,London,12,Notes,1,SYSTEM,2024-06-13 07:42:25.100301,,
112,LEAD00112,Karen Perez,crosscurtis@example.com,(942)762-2189x092,"Lewis, Goodman and Gillespie",3,4,5,4,5,4,London,16,Notes,1,SYSTEM,2025-05-19 07:42:25.100301,,
